type,a,b,stage,notes
FEEDS_THROUGH,Valv_21,Flow_sensor_3,,
FEEDS_TO,Flow_sensor_3,RESERVOIR,,

FEEDS_TO,Tank_7,Pump_6,,Enter Stage 4
FEEDS_THROUGH,Pump_6,Flow_sensor_2,,
FEEDS_TO,Flow_sensor_2,Tank_8,,
FEEDS_TO,Tank_8,Valv_22,,
FEEDS_THROUGH,Valv_22,Flow_sensor_4,,
FEEDS_TO,Flow_sensor_4,RESERVOIR,,

SENSOR_ON,Pressure_sensor_1,Tank_1,,
SENSOR_ON,Pressure_sensor_2,Tank_2,,
SENSOR_ON,Pressure_sensor_3,Tank_3,,
SENSOR_ON,Pressure_sensor_4,Tank_4,,
SENSOR_ON,Pressure_sensor_5,Tank_5,,
SENSOR_ON,Pressure_sensor_6,Tank_6,,
SENSOR_ON,Pressure_sensor_7,Tank_7,,
SENSOR_ON,Pressure_sensor_8,Tank_8,,


ISSUES_COMMAND_TO,HMI_1,PLC_1,,
ISSUES_COMMAND_TO,HMI_1,PLC_2,,
ISSUES_COMMAND_TO,HMI_1,PLC_3,,
ISSUES_COMMAND_TO,HMI_1,PLC_4,,

CONTROLS,PLC_1,Pump_2,,
CONTROLS,PLC_1,Pump_4,,
CONTROLS,PLC_1,Pump_3,,
CONTROLS,PLC_1,Pump_1,,
CONTROLS,PLC_1,Valv_1,,
CONTROLS,PLC_1,Valv_2,,
CONTROLS,PLC_1,Valv_3,,
CONTROLS,PLC_1,Valv_4,,
CONTROLS,PLC_1,Valv_18,,
CONTROLS,PLC_1,Valv_19,,
CONTROLS,PLC_1,Valv_9,,
CONTROLS,PLC_1,Valv_17,,
CONTROLS,PLC_1,Valv_5,,
CONTROLS,PLC_1,Valv_6,,
CONTROLS,PLC_1,Valv_7,,
CONTROLS,PLC_1,Valv_8,,
CONTROLS,PLC_1,Valv_10,,
CONTROLS,PLC_1,Valv_11,,
CONTROLS,PLC_1,Valv_12,,
CONTROLS,PLC_1,Valv_13,,
CONTROLS,PLC_1,Valv_14,,
CONTROLS,PLC_1,Valv_15,,
CONTROLS,PLC_1,Valv_16,,

CONTROLS,PLC_2,Valv_20,,

CONTROLS,PLC_3,Pump_5,,
CONTROLS,PLC_3,Valv_21,,

CONTROLS,PLC_4,Pump_6,,
CONTROLS,PLC_4,Valv_22,,


READS_FROM,PLC_2,Flow_sensor_1,,
READS_FROM,PLC_3,Flow_sensor_2,,

