measurement_id,asset_id,name,prop_key,first_seen_ts,last_seen_ts
testbed_system_1_Flow_sensor_Flow_sensor_3_Value,testbed_system_1_Flow_sensor_Flow_sensor_3,Value,value,2025-09-26 02:30:43.800302+00:00,2025-09-26 02:30:43.800302+00:00
testbed_system_1_Flow_sensor_Flow_sensor_4_Value,testbed_system_1_Flow_sensor_Flow_sensor_4,Value,value,2025-09-26 02:30:43.812374+00:00,2025-09-26 02:30:43.812374+00:00
testbed_system_1_Valv_Valv_1_State,testbed_system_1_Valv_Valv_1,State,state,2025-09-26 02:30:43.821608+00:00,2025-09-26 02:30:43.821608+00:00
testbed_system_1_Valv_Valv_2_State,testbed_system_1_Valv_Valv_2,State,state,2025-09-26 02:30:43.827883+00:00,2025-09-26 02:30:43.827883+00:00
testbed_system_1_Valv_Valv_3_State,testbed_system_1_Valv_Valv_3,State,state,2025-09-26 02:30:43.832592+00:00,2025-09-26 02:30:43.832592+00:00
testbed_system_1_Valv_Valv_4_State,testbed_system_1_Valv_Valv_4,State,state,2025-09-26 02:30:43.843253+00:00,2025-09-26 02:30:43.843253+00:00
testbed_system_1_Valv_Valv_5_State,testbed_system_1_Valv_Valv_5,State,state,2025-09-26 02:30:43.853042+00:00,2025-09-26 02:30:43.853042+00:00
testbed_system_1_Valv_Valv_6_State,testbed_system_1_Valv_Valv_6,State,state,2025-09-26 02:30:43.860582+00:00,2025-09-26 02:30:43.860582+00:00
testbed_system_1_Valv_Valv_7_State,testbed_system_1_Valv_Valv_7,State,state,2025-09-26 02:30:43.872391+00:00,2025-09-26 02:30:43.872391+00:00
testbed_system_1_Valv_Valv_8_State,testbed_system_1_Valv_Valv_8,State,state,2025-09-26 02:30:43.883002+00:00,2025-09-26 02:30:43.883002+00:00
testbed_system_1_Valv_Valv_9_State,testbed_system_1_Valv_Valv_9,State,state,2025-09-26 02:30:43.888968+00:00,2025-09-26 02:30:43.888968+00:00
testbed_system_1_Valv_Valv_10_State,testbed_system_1_Valv_Valv_10,State,state,2025-09-26 02:30:43.893804+00:00,2025-09-26 02:30:43.893804+00:00
testbed_system_1_Valv_Valv_11_State,testbed_system_1_Valv_Valv_11,State,state,2025-09-26 02:30:43.899982+00:00,2025-09-26 02:30:43.899982+00:00
testbed_system_1_Valv_Valv_12_State,testbed_system_1_Valv_Valv_12,State,state,2025-09-26 02:30:43.901800+00:00,2025-09-26 02:30:43.901800+00:00
testbed_system_1_Valv_Valv_13_State,testbed_system_1_Valv_Valv_13,State,state,2025-09-26 02:30:43.912721+00:00,2025-09-26 02:30:43.912721+00:00
testbed_system_1_Valv_Valv_14_State,testbed_system_1_Valv_Valv_14,State,state,2025-09-26 02:30:43.914713+00:00,2025-09-26 02:30:43.914713+00:00
testbed_system_1_Valv_Valv_15_State,testbed_system_1_Valv_Valv_15,State,state,2025-09-26 02:30:43.916372+00:00,2025-09-26 02:30:43.916372+00:00
testbed_system_1_Valv_Valv_16_State,testbed_system_1_Valv_Valv_16,State,state,2025-09-26 02:30:43.918274+00:00,2025-09-26 02:30:43.918274+00:00
testbed_system_1_Valv_Valv_17_State,testbed_system_1_Valv_Valv_17,State,state,2025-09-26 02:30:43.929617+00:00,2025-09-26 02:30:43.929617+00:00
testbed_system_1_Valv_Valv_18_State,testbed_system_1_Valv_Valv_18,State,state,2025-09-26 02:30:43.940557+00:00,2025-09-26 02:30:43.940557+00:00
testbed_system_1_Valv_Valv_19_State,testbed_system_1_Valv_Valv_19,State,state,2025-09-26 02:30:43.944806+00:00,2025-09-26 02:30:43.944806+00:00
testbed_system_1_Valv_Valv_20_State,testbed_system_1_Valv_Valv_20,State,state,2025-09-26 02:30:43.947432+00:00,2025-09-26 02:30:43.947432+00:00
testbed_system_1_Valv_Valv_21_State,testbed_system_1_Valv_Valv_21,State,state,2025-09-26 02:30:43.951061+00:00,2025-09-26 02:30:43.951061+00:00
testbed_system_1_Valv_Valv_22_State,testbed_system_1_Valv_Valv_22,State,state,2025-09-26 02:30:43.953975+00:00,2025-09-26 02:30:43.953975+00:00
