asset_id,system_id,asset_type,asset_name,validated,first_seen_ts,last_seen_ts
testbed_system_1_Valve_Valve_3,testbed_system_1,Valve,Valve_3,True,2025-09-18 22:18:25.528086+00:00,2025-09-18 22:18:25.528086+00:00
testbed_system_1_Valve_Valve_4,testbed_system_1,Valve,Valve_4,True,2025-09-18 22:18:25.529613+00:00,2025-09-18 22:18:25.529613+00:00
testbed_system_1_Valve_Valve_5,testbed_system_1,Valve,Valve_5,True,2025-09-18 22:18:25.531111+00:00,2025-09-18 22:18:25.531111+00:00
testbed_system_1_Valve_Valve_6,testbed_system_1,Valve,Valve_6,True,2025-09-18 22:18:25.532931+00:00,2025-09-18 22:18:25.532931+00:00
testbed_system_1_Valve_Valve_7,testbed_system_1,Valve,Valve_7,True,2025-09-18 22:18:25.534938+00:00,2025-09-18 22:18:25.534938+00:00
testbed_system_1_Valve_Valve_8,testbed_system_1,Valve,Valve_8,True,2025-09-18 22:18:25.536637+00:00,2025-09-18 22:18:25.536637+00:00
testbed_system_1_Valve_Valve_9,testbed_system_1,Valve,Valve_9,True,2025-09-18 22:18:25.538352+00:00,2025-09-18 22:18:25.538352+00:00
testbed_system_1_Valve_Valve_10,testbed_system_1,Valve,Valve_10,True,2025-09-18 22:18:25.540119+00:00,2025-09-18 22:18:25.540119+00:00
testbed_system_1_Valve_Valve_11,testbed_system_1,Valve,Valve_11,True,2025-09-18 22:18:25.541705+00:00,2025-09-18 22:18:25.541705+00:00
testbed_system_1_Valve_Valve_12,testbed_system_1,Valve,Valve_12,True,2025-09-18 22:18:25.543441+00:00,2025-09-18 22:18:25.543441+00:00
testbed_system_1_Valve_Valve_13,testbed_system_1,Valve,Valve_13,True,2025-09-18 22:18:25.545264+00:00,2025-09-18 22:18:25.545264+00:00
testbed_system_1_Valve_Valve_14,testbed_system_1,Valve,Valve_14,True,2025-09-18 22:18:25.547363+00:00,2025-09-18 22:18:25.547363+00:00
testbed_system_1_Valve_Valve_15,testbed_system_1,Valve,Valve_15,True,2025-09-18 22:18:25.549135+00:00,2025-09-18 22:18:25.549135+00:00
testbed_system_1_Valve_Valve_16,testbed_system_1,Valve,Valve_16,True,2025-09-18 22:18:25.550859+00:00,2025-09-18 22:18:25.550859+00:00
testbed_system_1_Valve_Valve_17,testbed_system_1,Valve,Valve_17,True,2025-09-18 22:18:25.552817+00:00,2025-09-18 22:18:25.552817+00:00
testbed_system_1_Valve_Valve_18,testbed_system_1,Valve,Valve_18,True,2025-09-18 22:18:25.554555+00:00,2025-09-18 22:18:25.554555+00:00
testbed_system_1_Valve_Valve_19,testbed_system_1,Valve,Valve_19,True,2025-09-18 22:18:25.556287+00:00,2025-09-18 22:18:25.556287+00:00
testbed_system_1_Valve_Valve_20,testbed_system_1,Valve,Valve_20,True,2025-09-18 22:18:25.558107+00:00,2025-09-18 22:18:25.558107+00:00
testbed_system_1_Valve_Valve_21,testbed_system_1,Valve,Valve_21,True,2025-09-18 22:18:25.559680+00:00,2025-09-18 22:18:25.559680+00:00
testbed_system_1_Valve_Valve_22,testbed_system_1,Valve,Valve_22,True,2025-09-18 22:18:25.561329+00:00,2025-09-18 22:18:25.561329+00:00
